task_id,phase,phase_name,priority,title,description,dependencies,requirement_ids,deliverable,acceptance_test,status,owner,notes
P01-T002,P01,"Monorepo, API skeleton and local infrastructure",P0,"Create the Python project with Flask application factory, configuration classes, environment validation, blueprints, str","Create the Python project with Flask application factory, configuration classes, environment validation, blueprints, structured JSON errors, request IDs and `/api/v1/health`, `/ready` and `/version` endpoints.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Factory and all three schema-backed system endpoints pass integration tests.
P01-T003,P01,"Monorepo, API skeleton and local infrastructure",P0,Create initial OpenAPI generation and an API-contract check,Create initial OpenAPI generation and an API-contract check. API documentation must be generated from the actual request/response schemas.,P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Committed OpenAPI snapshot is generated from Flask-Smorest schemas and drift-check passes.
P01-T004,P01,"Monorepo, API skeleton and local infrastructure",P0,Create PostgreSQL and API services in Docker Compose,"Create PostgreSQL and API services in Docker Compose. Add health checks, named volumes and a Tesseract-equipped API image.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Clean API image build passed; fresh PostgreSQL and private-storage volumes were created; migration 20260809_0001 and live health/readiness/CORS probes passed with both containers healthy.
P01-T005,P01,"Monorepo, API skeleton and local infrastructure",P0,"Add SQLAlchemy session management, database readiness check and a placeholder initial migration","Add SQLAlchemy session management, database readiness check and a placeholder initial migration.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,SQLAlchemy lifecycle and database probe tested; empty Alembic head and offline upgrade SQL verified.
P01-T006,P01,"Monorepo, API skeleton and local infrastructure",P0,Add structured application logging with correlation/request IDs and sensitive-field redaction,Add structured application logging with correlation/request IDs and sensitive-field redaction.,P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,JSON logs include UUID request correlation and recursive sensitive-field redaction tests.
P01-T007,P01,"Monorepo, API skeleton and local infrastructure",P0,Add strict development CORS for known local mobile/admin origins; never use wildcard credentials in production,Add strict development CORS for known local mobile/admin origins; never use wildcard credentials in production.,P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Credentialed CORS is explicit-origin only; allowlisted and attacker-origin tests pass.
P01-T008,P01,"Monorepo, API skeleton and local infrastructure",P0,"Create backend formatting, linting, typing and test configuration","Create backend formatting, linting, typing and test configuration.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Ruff format/lint; strict mypy; 20 pytest tests and 91.81 percent coverage pass; doctor detects per-user Docker Desktop installs on Windows.
P01-T009,P01,"Monorepo, API skeleton and local infrastructure",P0,Create a root command that starts local dependencies and a root verification command that invokes existing checks,Create a root command that starts local dependencies and a root verification command that invokes existing checks.,P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Root npm commands and Python verification orchestration invoke the implemented backend checks.
P01-T010,P01,"Monorepo, API skeleton and local infrastructure",P0,"Document Windows, macOS/Linux and Docker bootstrap steps","Document Windows, macOS/Linux and Docker bootstrap steps.",P00,"FR-AUD-003,FR-AUD-005,NFR-INT-001,NFR-MNT-001",Runnable Flask API; PostgreSQL local service; OpenAPI skeleton; Backend CI-ready quality configuration; Local setup documentation,Health endpoint returns service version and no secret data; Ready endpoint fails when PostgreSQL is unavailable and passes when available; Unknown route returns standard JSON error envelope; Clean Docker build succeeds; Backend lint/type/unit smoke tests pass,Complete,Codex,Windows; macOS/Linux; Docker lifecycle and readiness semantics documented.
P02-T001,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,"Implement all tables, enums, constraints, relationships and indexes specified in `04_DATABASE_AND_STORAGE_SPEC","Implement all tables, enums, constraints, relationships and indexes specified in `04_DATABASE_AND_STORAGE_SPEC.md`.",P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T002,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,"Use UUID primary keys, timezone-aware UTC timestamps and explicit enum/check constraints","Use UUID primary keys, timezone-aware UTC timestamps and explicit enum/check constraints. Define creation/update conventions.",P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T003,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,Implement Alembic/Flask-Migrate revisions with deterministic names and downgrade paths where safe,Implement Alembic/Flask-Migrate revisions with deterministic names and downgrade paths where safe.,P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T004,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,Create a storage interface with local-private and S3-compatible implementations,Create a storage interface with local-private and S3-compatible implementations. The API chooses the adapter by configuration.,P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T005,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,"Implement generated object keys, SHA-256 hashing, content metadata, private retrieval and deletion/retention hooks","Implement generated object keys, SHA-256 hashing, content metadata, private retrieval and deletion/retention hooks.",P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T006,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,"Create seed commands for roles, a bootstrap administrator, demo receipt templates, default fraud rules and test referenc","Create seed commands for roles, a bootstrap administrator, demo receipt templates, default fraud rules and test reference records. Bootstrap credentials must come from environment variables and must be changed.",P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T007,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,"Create database factories/fixtures for users, transactions, receipts, OCR results, analyses, models, reference records, ","Create database factories/fixtures for users, transactions, receipts, OCR results, analyses, models, reference records, cases, notifications and audits.",P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T008,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,Add soft-deactivation where required; do not soft-delete immutable audit/evidence rows,Add soft-deactivation where required; do not soft-delete immutable audit/evidence rows.,P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T009,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,Add migration tests from an empty database and schema-integrity tests,Add migration tests from an empty database and schema-integrity tests.,P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P02-T010,P02,"Relational schema, migrations, seeds and private storage abstraction",P0,Generate an engineering ER diagram from the implemented schema and note differences from the Chapter Three diagram,Generate an engineering ER diagram from the implemented schema and note differences from the Chapter Three diagram.,P01,"FR-UPL-003,FR-AUD-001,NFR-REL-002,NFR-BACK-001",Versioned schema and migrations; Storage adapter interface; Seed and fixture tooling; Implemented-schema ER reference; Database tests,"Upgrade from zero to head succeeds; Downgrade/upgrade smoke path succeeds for reversible migrations; Uniqueness, foreign key and check constraints reject invalid rows; Private storage does not expose a public path; Deletion/retention routines preserve audit requirements",Not Started,Codex,
P03-T001,P03,"Authentication, session security, ownership and RBAC",P0,"Implement registration, login, refresh, logout/revocation, current-user, forgot-password and reset-password endpoints","Implement registration, login, refresh, logout/revocation, current-user, forgot-password and reset-password endpoints.",P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T002,P03,"Authentication, session security, ownership and RBAC",P0,Hash passwords using a suitable adaptive password hash,Hash passwords using a suitable adaptive password hash. Never log passwords or reset tokens.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T003,P03,"Authentication, session security, ownership and RBAC",P0,Implement short-lived access tokens and rotated refresh tokens,Implement short-lived access tokens and rotated refresh tokens. Store only a hash/fingerprint of server-tracked refresh tokens where revocation is required.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T004,P03,"Authentication, session security, ownership and RBAC",P0,"Implement role decorators/policies for `USER`, `ADMIN` and `INVESTIGATOR`, including combined capabilities","Implement role decorators/policies for `USER`, `ADMIN` and `INVESTIGATOR`, including combined capabilities.",P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T005,P03,"Authentication, session security, ownership and RBAC",P0,Implement object-level ownership policies so a user cannot access another user's transaction by changing an ID,Implement object-level ownership policies so a user cannot access another user's transaction by changing an ID.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T006,P03,"Authentication, session security, ownership and RBAC",P0,Implement web refresh through a secure HTTP-only cookie and CSRF protection for cookie-authenticated state changes; keep,Implement web refresh through a secure HTTP-only cookie and CSRF protection for cookie-authenticated state changes; keep browser access tokens in memory where used.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T007,P03,"Authentication, session security, ownership and RBAC",P0,Define mobile secure-token storage contract for Expo SecureStore,Define mobile secure-token storage contract for Expo SecureStore. No token in AsyncStorage.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T008,P03,"Authentication, session security, ownership and RBAC",P0,"Rate-limit login, refresh, password reset and registration; make authentication errors non-enumerating","Rate-limit login, refresh, password reset and registration; make authentication errors non-enumerating.",P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T009,P03,"Authentication, session security, ownership and RBAC",P0,"Audit login success/failure, password reset, role changes, account deactivation and refresh-token revocation","Audit login success/failure, password reset, role changes, account deactivation and refresh-token revocation.",P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T010,P03,"Authentication, session security, ownership and RBAC",P0,Add admin user-management endpoints only after server-side role checks are complete,Add admin user-management endpoints only after server-side role checks are complete.,P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P03-T011,P03,"Authentication, session security, ownership and RBAC",P0,"Create test accounts through seed tooling, not hard-coded production credentials","Create test accounts through seed tooling, not hard-coded production credentials.",P02,"FR-USER-001,FR-USER-002,FR-USER-003,FR-AUTH-001,FR-AUTH-002,FR-AUTH-003,FR-AUTH-004,FR-AUTH-005,FR-AUTH-006,NFR-SEC-001,NFR-SEC-002",Complete authentication API; RBAC/ownership policy layer; Reset-token workflow; Auth audit events; OpenAPI/auth test suite,Register/login/refresh/logout/reset happy paths; Expired/revoked/altered tokens rejected; Wrong role receives 403; unauthenticated receives 401; Cross-user ID access receives 404/403 without leaking object existence; Rate limit and generic reset response tested; Cookie security/CSRF behaviour tested for web portal,Not Started,Codex,
P04-T001,P04,"Mobile application shell, design system and authentication experience",P1,Scaffold Expo React Native TypeScript and Expo Router using the repository's pinned Node/package-manager version,Scaffold Expo React Native TypeScript and Expo Router using the repository's pinned Node/package-manager version.,P03,"FR-USER-001,FR-USER-002,FR-USER-003,FR-USER-004,NFR-USE-001,NFR-USE-002",Runnable mobile app; Auth screens and secure session; Reusable mobile component library; Navigation and state handling; Mobile test baseline,"Type check, lint and tests pass; Token is stored only in secure storage; Session restoration and logout work; Form validation and server errors are accessible; Common Android viewport has no overflow or hidden controls",Not Started,Codex,
P04-T002,P04,"Mobile application shell, design system and authentication experience",P1,"Create theme tokens for spacing, typography, radius, elevation and semantic statuses","Create theme tokens for spacing, typography, radius, elevation and semantic statuses. Use icons/text in addition to colour.",P03,"FR-USER-001,FR-USER-002,FR-USER-003,FR-USER-004,NFR-USE-001,NFR-USE-002",Runnable mobile app; Auth screens and secure session; Reusable mobile component library; Navigation and state handling; Mobile test baseline,"Type check, lint and tests pass; Token is stored only in secure storage; Session restoration and logout work; Form validation and server errors are accessible; Common Android viewport has no overflow or hidden controls",Not Started,Codex,
